log,split,n_scenarios,cam_f0_width,cam_f0_height,cam_f0_images_log,cam_f0_images_scenario_windows,log_duration_s,example_blob_path
2021.06.09.17.37.09_veh-12_00404_00864,test,1,1920,1080,4600,220,459.899988,2021.06.09.17.37.09_veh-12_00404_00864/CAM_F0/ec152376264c579a.jpg
2021.06.14.19.22.11_veh-38_01480_01860,train,1,1920,1080,3800,220,379.899969,2021.06.14.19.22.11_veh-38_01480_01860/CAM_F0/90ebd2dd1f3f5807.jpg
2021.06.23.15.56.12_veh-16_00839_01285,train,2,1920,1080,4460,440,445.899928,2021.06.23.15.56.12_veh-16_00839_01285/CAM_F0/b41f24638e795ed2.jpg
2021.06.23.17.31.36_veh-16_00016_00377,train,1,1920,1080,3610,220,360.899897,2021.06.23.17.31.36_veh-16_00016_00377/CAM_F0/45be0de39c3855cb.jpg
2021.06.28.16.29.11_veh-38_03263_03766,train,1,1920,1080,5029,220,502.899768,2021.06.28.16.29.11_veh-38_03263_03766/CAM_F0/91e2fbcd17ca5521.jpg
2021.06.28.16.57.59_veh-26_00016_00484,train,2,1920,1080,4680,440,467.90017,2021.06.28.16.57.59_veh-26_00016_00484/CAM_F0/8cfe0d31597d57d4.jpg
2021.07.16.00.51.05_veh-17_01352_01901,val,1,1920,1080,5490,220,548.900059,2021.07.16.00.51.05_veh-17_01352_01901/CAM_F0/b5c0bf7fdd0b509b.jpg
2021.07.16.18.06.21_veh-38_03231_03712,val,1,1920,1080,4810,220,480.899927,2021.07.16.18.06.21_veh-38_03231_03712/CAM_F0/1dc1bb5c785452a6.jpg
2021.07.16.18.06.21_veh-38_04471_04922,test,2,1920,1080,4510,439,450.899956,2021.07.16.18.06.21_veh-38_04471_04922/CAM_F0/41be97f67ec259d2.jpg
2021.07.16.18.06.21_veh-38_04933_05307,test,3,1920,1080,3740,644,373.900066,2021.07.16.18.06.21_veh-38_04933_05307/CAM_F0/996d8f2449ec5a81.jpg
2021.07.16.20.45.29_veh-35_01095_01486,test,3,1920,1080,3910,588,390.89987,2021.07.16.20.45.29_veh-35_01095_01486/CAM_F0/35e90a4d56125792.jpg
2021.07.24.23.50.16_veh-17_01696_02071,train,1,1920,1080,3750,220,374.899994,2021.07.24.23.50.16_veh-17_01696_02071/CAM_F0/59c862eef7bc55ef.jpg
2021.08.09.17.55.59_veh-28_00021_00307,train,1,1920,1080,2860,220,285.900315,2021.08.09.17.55.59_veh-28_00021_00307/CAM_F0/48684763cb2157fb.jpg
2021.08.17.16.57.11_veh-08_01200_01636,train,3,1920,1080,4360,659,435.900346,2021.08.17.16.57.11_veh-08_01200_01636/CAM_F0/36cf68024cbe597e.jpg
2021.08.17.17.17.01_veh-45_02314_02798,train,3,1920,1080,4840,587,483.900072,2021.08.17.17.17.01_veh-45_02314_02798/CAM_F0/b9e690cbb1115a96.jpg
2021.08.17.18.54.02_veh-45_00665_01065,train,1,1920,1080,4000,220,399.899969,2021.08.17.18.54.02_veh-45_00665_01065/CAM_F0/dfbb21e39c535c06.jpg
2021.08.30.14.54.34_veh-40_00439_00835,train,1,1920,1080,3960,220,395.90034,2021.08.30.14.54.34_veh-40_00439_00835/CAM_F0/7a99fc06a3d1524f.jpg
2021.10.01.19.16.42_veh-28_03307_03808,train,3,1920,1080,5010,660,500.900383,2021.10.01.19.16.42_veh-28_03307_03808/CAM_F0/39eaa2c119f45dff.jpg
2021.10.05.07.10.04_veh-52_01442_01802,train,1,1920,1080,3600,220,359.899984,2021.10.05.07.10.04_veh-52_01442_01802/CAM_F0/cc3bf39d4d815f47.jpg
2021.10.06.17.43.07_veh-28_00508_00877,train,2,1920,1080,3690,439,368.899681,2021.10.06.17.43.07_veh-28_00508_00877/CAM_F0/0ec2cc18901f55d6.jpg
